,0
Substructure,160000000.0
Substructure Installation,46244715.9436834
Turbine,390000000.0
Project,151250000.0
construction_insurance_capex,6856814.233352358
decomissioning_costs,7977213.500285386
construction_financing,28625400.578156527
procurement_contingency_costs,31624999.999999996
install_contingency_costs,15954427.000570772
project_completion_capex,6856814.233352358
